 ,ID,Label
0,1358203282699747331,1
1,1460395566999998469,1
2,1298047408459231232,0
3,1406038880982274052,1
4,1249487429788188672,1
5,1350955498875604992,1
6,1395167371107635200,1
7,1229918504582893568,1
8,1436479573127008277,1
9,1396254545072869380,0
10,1328850324551962625,1
11,1259634080976637952,1
12,1315079649777659904,1
13,1487576268010921984,1
14,1436116893560188932,1
15,1441551978350485512,0
16,1259996286884835328,0
17,1224119841314889728,0
18,1329937462559432705,1
19,1371612080214786048,0
20,1252024053017260032,1
21,1366901058811949058,1
22,1442639630713724929,1
23,1310368583655067648,0
24,1399878364236759041,1
25,1467280506635104259,0
26,1273405036312264707,1
27,1501346955510763521,1
28,1324501315804925956,0
29,1424158410417876993,1
30,1255647774881845249,1
31,1445176860757925888,0
32,1461846261502410756,0
33,1314354739975516160,1
34,1451699542995439616,1
35,1428144656127340548,1
36,1424883171502534660,1
37,1254560522885828608,1
38,1468006474215481350,1
39,1383931585167167488,1
40,1485400911862243330,1
41,1459672408709754884,1
42,1406762283141763077,1
43,1241876543565070338,1
44,1407488391143432196,0
45,1314717249236733952,1
46,1384295514418540556,0
47,1325588544610586628,1
48,1496273497743626240,1
49,1443364503924707329,0
50,1254198303262216197,1
51,1396977872431112192,1
52,1412561792371507200,1
53,1298409729350414339,1
54,1370887391263662083,1
55,1473442953834024961,0
56,1248400211178688519,1
57,1468732027025477645,1
58,1283188653695602688,1
59,1382482498962264071,1
60,1435392293670817793,1
61,1419809754768023556,1
62,1312180161131900928,1
63,1418722353958301696,1
64,1303483246060081153,1
65,1361827630383648770,1
66,1242239488396603393,1
67,1227743531902676994,0
68,1258184738659074050,1
69,1237528551730991104,1
70,1306019876528680960,1
71,1237164592838705153,1
72,1309280728417538048,1
73,1389731487415734275,0
74,1215785334539202562,1
75,1401687672624721924,0
76,1449887840318414851,1
77,1489388188611325953,0
78,1237166163001556994,1
79,1331024360824582149,1
80,1263620562972299265,1
81,1399153455470497798,1
82,1381758224743817216,0
83,1493374408290930690,1
84,1254560827937439745,0
85,1316891481597218817,1
86,1423433265491288066,1
87,1496635883184967684,1
88,1260721233009745920,1
89,1456048482540613633,0
90,1489025818332442625,0
91,1306382008269107201,1
92,1418721838310559748,0
93,1366175026458861572,1
94,1346969793769971715,1
95,1326675028382011394,1
96,1456410784783798272,1
97,1396616867125547008,1
98,1379946961260797955,1
99,1240065294825140225,1
100,1448437923028873218,1
101,1295510709636411393,0
102,1271591794439081984,1
103,1392992745606860802,0
104,1405314165607129093,1
105,1465108230497964037,1
106,1252747601570435072,1
107,1334286126547226624,0
108,1293336361911619585,1
109,1436116989429248017,1
110,1252748779872272389,0
111,1406401183149924353,1
112,1264344954475773959,1
113,1418360138251968513,1
114,1282464718490394626,1
115,1388644356333182984,0
116,1461484355658792962,1
117,1328850308613726208,1
118,1403864350637674499,1
119,1376322983401299973,0
120,1295148015427244032,1
121,1253111062997749761,0
122,1356391853050986497,1
123,1302033185014910977,0
124,1324864042566103041,0
125,1493374360031277058,1
126,1250936732977168386,0
127,1370162159083216898,1
128,1225569107011129346,1
129,1458947541135888388,1
130,1371974547503783944,1
131,1441190450929356803,0
132,1225569748194406402,1
133,1247674455305961474,1
134,1486488845306806274,0
135,1405675201979879425,1
136,1369075355038875648,1
137,1338633943021723654,1
138,1464745500868026370,1
139,1229918493086117889,1
140,1282102285338767360,1
141,1383208508800253953,0
142,1484677073645961216,1
143,1411112382773055489,1
144,1335735650344198154,1
145,1274853761446481925,1
146,1475254769124089862,1
147,1287900536432459777,0
148,1228831046550065152,1
149,1393355421986009089,1
150,1288624300229042176,1
151,1364001943916589056,1
152,1485039548459487233,1
153,1416185736672563207,1
154,1458222826595442689,0
155,1338634790149496834,1
156,1335010539525824512,1
157,1460034805911855104,1
158,1346606455114371072,1
159,1319428318257696768,1
160,1319790706005843968,1
161,1376684963224035329,1
162,1243689164043964416,0
163,1395892105852059649,0
164,1401689979458179073,0
165,1445537994824302606,1
166,1216147678704406530,0
167,1214335750113652736,1
168,1439740730868699136,1
169,1408938095144222723,1
170,1457859491307741184,1
